1	PI	545	546	549	552	555	558	561	564	567	570	573	576	579	582	585	588
18	PI	591	594	597	600	603	606	609	612	615	618	621	624	627	630	633	636
35	PI	639	642	645	648	651	654	657	660	663	666	669	672	675	678	681	684
52	PI	687	690	693	696	699	702	705	708	711	714	717	720	723	726	729	732
69	PI	735	738	741	744	747	750	753	756	759	762	765	768	771	774	777	780
86	PI	783	786	789	792	795	798	801	804	807	810	813	816	819	822	825	828
103	PI	831	834	837	840	843	846	849	852	855	858	861	864	867	870	873	876
120	PI	879	882	885	888	891	894	897	900	903	906	909	912	915	918	921	924
137	PI	927	930	933	936	939	942	945	948	951	954	957	960	963	966	969	972
154	PI	975	978	981	984	987	990	993	996	999	1002	1005	1008	1011	1014	1017	1020
171	PI	1023	1026	1029	1032	1035	1038	1041	1044	1047	1050	1053	1056	1059	1062	1065	1068
188	PI	1071	1074	1077	1080	1083	1086	1089	1092	1095	1098	1101	1104	1107	1110	1113	1116
205	PI	1119	1122	1125	1128	1131	1134	1137	1140	1143	1146	1149	1152	1155	1158	1161	1164
222	PI	1167	1170	1173	1176	1179	1182	1185	1188	1191	1194	1197	1200	1203	1206	1209	1212
239	PI	1215	1218	1221	1224	1227	1230	1233	1236	1239	1242	1245	1248	1251	1254	1257	1260
256	PI	1263	1266	1269	1272	1275	1278	1281	1284	1287	1290	1293	1296	1299	1302	1305	1308
273	PI	545	591	639	687	735	783	831	879	927	975	1023	1071	1119	1167	1215	1263
290	PI	546	594	642	690	738	786	834	882	930	978	1026	1074	1122	1170	1218	1266
307	PI	549	597	645	693	741	789	837	885	933	981	1029	1077	1125	1173	1221	1269
324	PI	552	600	648	696	744	792	840	888	936	984	1032	1080	1128	1176	1224	1272
341	PI	555	603	651	699	747	795	843	891	939	987	1035	1083	1131	1179	1227	1275
358	PI	558	606	654	702	750	798	846	894	942	990	1038	1086	1134	1182	1230	1278
375	PI	561	609	657	705	753	801	849	897	945	993	1041	1089	1137	1185	1233	1281
392	PI	564	612	660	708	756	804	852	900	948	996	1044	1092	1140	1188	1236	1284
409	PI	567	615	663	711	759	807	855	903	951	999	1047	1095	1143	1191	1239	1287
426	PI	570	618	666	714	762	810	858	906	954	1002	1050	1098	1146	1194	1242	1290
443	PI	573	621	669	717	765	813	861	909	957	1005	1053	1101	1149	1197	1245	1293
460	PI	576	624	672	720	768	816	864	912	960	1008	1056	1104	1152	1200	1248	1296
477	PI	579	627	675	723	771	819	867	915	963	1011	1059	1107	1155	1203	1251	1299
494	PI	582	630	678	726	774	822	870	918	966	1014	1062	1110	1158	1206	1254	1302
511	PI	585	633	681	729	777	825	873	921	969	1017	1065	1113	1161	1209	1257	1305
528	PI	588	636	684	732	780	828	876	924	972	1020	1068	1116	1164	1212	1260	1308
545	AND	6289
1311	NOT	1371	1372	1508
1315	NOT	1373	1374	1513
1319	NOT	1375	1376	1518
1323	NOT	1377	1378	1523
1327	NOT	1379	1380	1528
1331	NOT	1381	1382	1533
1335	NOT	1383	1384	1538
1339	NOT	1385	1386	1543
1343	NOT	1387	1388	1548
1347	NOT	1389	1390	1553
1351	NOT	1391	1392	1558
1355	NOT	1393	1394	1563
1359	NOT	1395	1396	1568
1363	NOT	1397	1398	1573
1367	NOT	1399	1400	1578
1371	NOR	1401
1372	NOT	1401
1373	NOR	1404
1374	NOT	1404
1375	NOR	1407
1376	NOT	1407
1377	NOR	1410
1378	NOT	1410
1379	NOR	1413
1380	NOT	1413
1381	NOR	1416
1382	NOT	1416
1383	NOR	1419
1384	NOT	1419
1385	NOR	1422
1386	NOT	1422
1387	NOR	1425
1388	NOT	1425
1389	NOR	1428
1390	NOT	1428
1391	NOR	1431
1392	NOT	1431
1393	NOR	1434
1394	NOT	1434
1395	NOR	1437
1396	NOT	1437
1397	NOR	1440
1398	NOT	1440
1399	NOR	1443
1400	NOT	1443
1401	NOR	1446	1506
1404	NOR	1450	1511
1407	NOR	1454	1516
1410	NOR	1458	1521
1413	NOR	1462	1526
1416	NOR	1466	1531
1419	NOR	1470	1536
1422	NOR	1474	1541
1425	NOR	1478	1546
1428	NOR	1482	1551
1431	NOR	1486	1556
1434	NOR	1490	1561
1437	NOR	1494	1566
1440	NOR	1498	1571
1443	NOR	1502	1576
1446	NOR	1506	1507	1508
1450	NOR	1511	1512	1513
1454	NOR	1516	1517	1518
1458	NOR	1521	1522	1523
1462	NOR	1526	1527	1528
1466	NOR	1531	1532	1533
1470	NOR	1536	1537	1538
1474	NOR	1541	1542	1543
1478	NOR	1546	1547	1548
1482	NOR	1551	1552	1553
1486	NOR	1556	1557	1558
1490	NOR	1561	1562	1563
1494	NOR	1566	1567	1568
1498	NOR	1571	1572	1573
1502	NOR	1576	1577	1578
1506	NOR	1581
1507	NOR	1581
1508	NOR	1628	1687
1511	NOR	1582
1512	NOR	1582
1513	NOR	1632	1689
1516	NOR	1585
1517	NOR	1585
1518	NOR	1636	1691
1521	NOR	1588
1522	NOR	1588
1523	NOR	1640	1693
1526	NOR	1591
1527	NOR	1591
1528	NOR	1644	1695
1531	NOR	1594
1532	NOR	1594
1533	NOR	1648	1697
1536	NOR	1597
1537	NOR	1597
1538	NOR	1652	1699
1541	NOR	1600
1542	NOR	1600
1543	NOR	1656	1701
1546	NOR	1603
1547	NOR	1603
1548	NOR	1660	1703
1551	NOR	1606
1552	NOR	1606
1553	NOR	1664	1705
1556	NOR	1609
1557	NOR	1609
1558	NOR	1668	1707
1561	NOR	1612
1562	NOR	1612
1563	NOR	1672	1709
1566	NOR	1615
1567	NOR	1615
1568	NOR	1676	1711
1571	NOR	1618
1572	NOR	1618
1573	NOR	1680	1713
1576	NOR	1621
1577	NOR	1621
1578	NOR	1624	1685
1581	NOR	6290
1582	NOR	1628	1686
1585	NOR	1632	1688
1588	NOR	1636	1690
1591	NOR	1640	1692
1594	NOR	1644	1694
1597	NOR	1648	1696
1600	NOR	1652	1698
1603	NOR	1656	1700
1606	NOR	1660	1702
1609	NOR	1664	1704
1612	NOR	1668	1706
1615	NOR	1672	1708
1618	NOR	1676	1710
1621	NOR	1680	1712
1624	NOR	1684	1685	1821
1628	NOR	1686	1687	1826
1632	NOR	1688	1689	1831
1636	NOR	1690	1691	1836
1640	NOR	1692	1693	1841
1644	NOR	1694	1695	1846
1648	NOR	1696	1697	1851
1652	NOR	1698	1699	1856
1656	NOR	1700	1701	1861
1660	NOR	1702	1703	1866
1664	NOR	1704	1705	1871
1668	NOR	1706	1707	1876
1672	NOR	1708	1709	1881
1676	NOR	1710	1711	1886
1680	NOR	1712	1713	1891
1684	NOR	1714
1685	NOR	1714
1686	NOR	1717
1687	NOR	1717
1688	NOR	1720
1689	NOR	1720
1690	NOR	1723
1691	NOR	1723
1692	NOR	1726
1693	NOR	1726
1694	NOR	1729
1695	NOR	1729
1696	NOR	1732
1697	NOR	1732
1698	NOR	1735
1699	NOR	1735
1700	NOR	1738
1701	NOR	1738
1702	NOR	1741
1703	NOR	1741
1704	NOR	1744
1705	NOR	1744
1706	NOR	1747
1707	NOR	1747
1708	NOR	1750
1709	NOR	1750
1710	NOR	1753
1711	NOR	1753
1712	NOR	1756
1713	NOR	1756
1714	NOR	1759	1819
1717	NOR	1763	1824
1720	NOR	1767	1829
1723	NOR	1771	1834
1726	NOR	1775	1839
1729	NOR	1779	1844
1732	NOR	1783	1849
1735	NOR	1787	1854
1738	NOR	1791	1859
1741	NOR	1795	1864
1744	NOR	1799	1869
1747	NOR	1803	1874
1750	NOR	1807	1879
1753	NOR	1811	1884
1756	NOR	1815	1889
1759	NOR	1819	1820	1821
1763	NOR	1824	1825	1826
1767	NOR	1829	1830	1831
1771	NOR	1834	1835	1836
1775	NOR	1839	1840	1841
1779	NOR	1844	1845	1846
1783	NOR	1849	1850	1851
1787	NOR	1854	1855	1856
1791	NOR	1859	1860	1861
1795	NOR	1864	1865	1866
1799	NOR	1869	1870	1871
1803	NOR	1874	1875	1876
1807	NOR	1879	1880	1881
1811	NOR	1884	1885	1886
1815	NOR	1889	1890	1891
1819	NOR	1894
1820	NOR	1894
1821	NOR	1897	1946
1824	NOR	1901
1825	NOR	1901
1826	NOR	1947	2005
1829	NOR	1902
1830	NOR	1902
1831	NOR	1951	2007
1834	NOR	1905
1835	NOR	1905
1836	NOR	1955	2009
1839	NOR	1908
1840	NOR	1908
1841	NOR	1959	2011
1844	NOR	1911
1845	NOR	1911
1846	NOR	1963	2013
1849	NOR	1914
1850	NOR	1914
1851	NOR	1967	2015
1854	NOR	1917
1855	NOR	1917
1856	NOR	1971	2017
1859	NOR	1920
1860	NOR	1920
1861	NOR	1975	2019
1864	NOR	1923
1865	NOR	1923
1866	NOR	1979	2021
1869	NOR	1926
1870	NOR	1926
1871	NOR	1983	2023
1874	NOR	1929
1875	NOR	1929
1876	NOR	1987	2025
1879	NOR	1932
1880	NOR	1932
1881	NOR	1991	2027
1884	NOR	1935
1885	NOR	1935
1886	NOR	1995	2029
1889	NOR	1938
1890	NOR	1938
1891	NOR	1941	2000
1894	NOR	1941	1999
1897	NOR	1945	1946	2082
1901	NOR	6291
1902	NOR	1947	2004
1905	NOR	1951	2006
1908	NOR	1955	2008
1911	NOR	1959	2010
1914	NOR	1963	2012
1917	NOR	1967	2014
1920	NOR	1971	2016
1923	NOR	1975	2018
1926	NOR	1979	2020
1929	NOR	1983	2022
1932	NOR	1987	2024
1935	NOR	1991	2026
1938	NOR	1995	2028
1941	NOR	1999	2000	2139
1945	NOR	2001
1946	NOR	2001
1947	NOR	2004	2005	2151
1951	NOR	2006	2007	2156
1955	NOR	2008	2009	2161
1959	NOR	2010	2011	2166
1963	NOR	2012	2013	2171
1967	NOR	2014	2015	2176
1971	NOR	2016	2017	2181
1975	NOR	2018	2019	2186
1979	NOR	2020	2021	2191
1983	NOR	2022	2023	2196
1987	NOR	2024	2025	2201
1991	NOR	2026	2027	2206
1995	NOR	2028	2029	2211
1999	NOR	2030
2000	NOR	2030
2001	NOR	2033	2080
2004	NOR	2037
2005	NOR	2037
2006	NOR	2040
2007	NOR	2040
2008	NOR	2043
2009	NOR	2043
2010	NOR	2046
2011	NOR	2046
2012	NOR	2049
2013	NOR	2049
2014	NOR	2052
2015	NOR	2052
2016	NOR	2055
2017	NOR	2055
2018	NOR	2058
2019	NOR	2058
2020	NOR	2061
2021	NOR	2061
2022	NOR	2064
2023	NOR	2064
2024	NOR	2067
2025	NOR	2067
2026	NOR	2070
2027	NOR	2070
2028	NOR	2073
2029	NOR	2073
2030	NOR	2076	2137
2033	NOR	2080	2081	2082
2037	NOR	2085	2149
2040	NOR	2089	2154
2043	NOR	2093	2159
2046	NOR	2097	2164
2049	NOR	2101	2169
2052	NOR	2105	2174
2055	NOR	2109	2179
2058	NOR	2113	2184
2061	NOR	2117	2189
2064	NOR	2121	2194
2067	NOR	2125	2199
2070	NOR	2129	2204
2073	NOR	2133	2209
2076	NOR	2137	2138	2139
2080	NOR	2142
2081	NOR	2142
2082	NOR	2145	2222
2085	NOR	2149	2150	2151
2089	NOR	2154	2155	2156
2093	NOR	2159	2160	2161
2097	NOR	2164	2165	2166
2101	NOR	2169	2170	2171
2105	NOR	2174	2175	2176
2109	NOR	2179	2180	2181
2113	NOR	2184	2185	2186
2117	NOR	2189	2190	2191
2121	NOR	2194	2195	2196
2125	NOR	2199	2200	2201
2129	NOR	2204	2205	2206
2133	NOR	2209	2210	2211
2137	NOR	2214
2138	NOR	2214
2139	NOR	2217	2265
2142	NOR	2217	2264
2145	NOR	2221	2222	2359
2149	NOR	2223
2150	NOR	2223
2151	NOR	2269	2327
2154	NOR	2224
2155	NOR	2224
2156	NOR	2273	2329
2159	NOR	2227
2160	NOR	2227
2161	NOR	2277	2331
2164	NOR	2230
2165	NOR	2230
2166	NOR	2281	2333
2169	NOR	2233
2170	NOR	2233
2171	NOR	2285	2335
2174	NOR	2236
2175	NOR	2236
2176	NOR	2289	2337
2179	NOR	2239
2180	NOR	2239
2181	NOR	2293	2339
2184	NOR	2242
2185	NOR	2242
2186	NOR	2297	2341
2189	NOR	2245
2190	NOR	2245
2191	NOR	2301	2343
2194	NOR	2248
2195	NOR	2248
2196	NOR	2305	2345
2199	NOR	2251
2200	NOR	2251
2201	NOR	2309	2347
2204	NOR	2254
2205	NOR	2254
2206	NOR	2313	2349
2209	NOR	2257
2210	NOR	2257
2211	NOR	2260	2318
2214	NOR	2260	2317
2217	NOR	2264	2265	2404
2221	NOR	2266
2222	NOR	2266
2223	NOR	6292
2224	NOR	2269	2326
2227	NOR	2273	2328
2230	NOR	2277	2330
2233	NOR	2281	2332
2236	NOR	2285	2334
2239	NOR	2289	2336
2242	NOR	2293	2338
2245	NOR	2297	2340
2248	NOR	2301	2342
2251	NOR	2305	2344
2254	NOR	2309	2346
2257	NOR	2313	2348
2260	NOR	2317	2318	2464
2264	NOR	2319
2265	NOR	2319
2266	NOR	2322	2357
2269	NOR	2326	2327	2478
2273	NOR	2328	2329	2483
2277	NOR	2330	2331	2488
2281	NOR	2332	2333	2493
2285	NOR	2334	2335	2498
2289	NOR	2336	2337	2503
2293	NOR	2338	2339	2508
2297	NOR	2340	2341	2513
2301	NOR	2342	2343	2518
2305	NOR	2344	2345	2523
2309	NOR	2346	2347	2528
2313	NOR	2348	2349	2533
2317	NOR	2350
2318	NOR	2350
2319	NOR	2353	2402
2322	NOR	2357	2358	2359
2326	NOR	2362
2327	NOR	2362
2328	NOR	2365
2329	NOR	2365
2330	NOR	2368
2331	NOR	2368
2332	NOR	2371
2333	NOR	2371
2334	NOR	2374
2335	NOR	2374
2336	NOR	2377
2337	NOR	2377
2338	NOR	2380
2339	NOR	2380
2340	NOR	2383
2341	NOR	2383
2342	NOR	2386
2343	NOR	2386
2344	NOR	2389
2345	NOR	2389
2346	NOR	2392
2347	NOR	2392
2348	NOR	2395
2349	NOR	2395
2350	NOR	2398	2462
2353	NOR	2402	2403	2404
2357	NOR	2407
2358	NOR	2407
2359	NOR	2410	2475
2362	NOR	2414	2476
2365	NOR	2418	2481
2368	NOR	2422	2486
2371	NOR	2426	2491
2374	NOR	2430	2496
2377	NOR	2434	2501
2380	NOR	2438	2506
2383	NOR	2442	2511
2386	NOR	2446	2516
2389	NOR	2450	2521
2392	NOR	2454	2526
2395	NOR	2458	2531
2398	NOR	2462	2463	2464
2402	NOR	2467
2403	NOR	2467
2404	NOR	2470	2544
2407	NOR	2470	2543
2410	NOR	2474	2475	2650
2414	NOR	2476	2477	2478
2418	NOR	2481	2482	2483
2422	NOR	2486	2487	2488
2426	NOR	2491	2492	2493
2430	NOR	2496	2497	2498
2434	NOR	2501	2502	2503
2438	NOR	2506	2507	2508
2442	NOR	2511	2512	2513
2446	NOR	2516	2517	2518
2450	NOR	2521	2522	2523
2454	NOR	2526	2527	2528
2458	NOR	2531	2532	2533
2462	NOR	2536
2463	NOR	2536
2464	NOR	2539	2587
2467	NOR	2539	2586
2470	NOR	2543	2544	2684
2474	NOR	2545
2475	NOR	2545
2476	NOR	2548
2477	NOR	2548
2478	NOR	2595	2654
2481	NOR	2549
2482	NOR	2549
2483	NOR	2599	2656
2486	NOR	2552
2487	NOR	2552
2488	NOR	2603	2658
2491	NOR	2555
2492	NOR	2555
2493	NOR	2607	2660
2496	NOR	2558
2497	NOR	2558
2498	NOR	2611	2662
2501	NOR	2561
2502	NOR	2561
2503	NOR	2615	2664
2506	NOR	2564
2507	NOR	2564
2508	NOR	2619	2666
2511	NOR	2567
2512	NOR	2567
2513	NOR	2623	2668
2516	NOR	2570
2517	NOR	2570
2518	NOR	2627	2670
2521	NOR	2573
2522	NOR	2573
2523	NOR	2631	2672
2526	NOR	2576
2527	NOR	2576
2528	NOR	2635	2674
2531	NOR	2579
2532	NOR	2579
2533	NOR	2582	2640
2536	NOR	2582	2639
2539	NOR	2586	2587	2733
2543	NOR	2588
2544	NOR	2588
2545	NOR	2591	2648
2548	NOR	6293
2549	NOR	2595	2653
2552	NOR	2599	2655
2555	NOR	2603	2657
2558	NOR	2607	2659
2561	NOR	2611	2661
2564	NOR	2615	2663
2567	NOR	2619	2665
2570	NOR	2623	2667
2573	NOR	2627	2669
2576	NOR	2631	2671
2579	NOR	2635	2673
2582	NOR	2639	2640	2791
2586	NOR	2641
2587	NOR	2641
2588	NOR	2644	2682
2591	NOR	2648	2649	2650
2595	NOR	2653	2654	2808
2599	NOR	2655	2656	2813
2603	NOR	2657	2658	2818
2607	NOR	2659	2660	2823
2611	NOR	2661	2662	2828
2615	NOR	2663	2664	2833
2619	NOR	2665	2666	2838
2623	NOR	2667	2668	2843
2627	NOR	2669	2670	2848
2631	NOR	2671	2672	2853
2635	NOR	2673	2674	2858
2639	NOR	2675
2640	NOR	2675
2641	NOR	2678	2731
2644	NOR	2682	2683	2684
2648	NOR	2687
2649	NOR	2687
2650	NOR	2690	2744
2653	NOR	2694
2654	NOR	2694
2655	NOR	2697
2656	NOR	2697
2657	NOR	2700
2658	NOR	2700
2659	NOR	2703
2660	NOR	2703
2661	NOR	2706
2662	NOR	2706
2663	NOR	2709
2664	NOR	2709
2665	NOR	2712
2666	NOR	2712
2667	NOR	2715
2668	NOR	2715
2669	NOR	2718
2670	NOR	2718
2671	NOR	2721
2672	NOR	2721
2673	NOR	2724
2674	NOR	2724
2675	NOR	2727	2789
2678	NOR	2731	2732	2733
2682	NOR	2736
2683	NOR	2736
2684	NOR	2739	2802
2687	NOR	2739	2801
2690	NOR	2743	2744	2923
2694	NOR	2745	2806
2697	NOR	2749	2811
2700	NOR	2753	2816
2703	NOR	2757	2821
2706	NOR	2761	2826
2709	NOR	2765	2831
2712	NOR	2769	2836
2715	NOR	2773	2841
2718	NOR	2777	2846
2721	NOR	2781	2851
2724	NOR	2785	2856
2727	NOR	2789	2790	2791
2731	NOR	2794
2732	NOR	2794
2733	NOR	2797	2869
2736	NOR	2797	2868
2739	NOR	2801	2802	2977
2743	NOR	2803
2744	NOR	2803
2745	NOR	2806	2807	2808
2749	NOR	2811	2812	2813
2753	NOR	2816	2817	2818
2757	NOR	2821	2822	2823
2761	NOR	2826	2827	2828
2765	NOR	2831	2832	2833
2769	NOR	2836	2837	2838
2773	NOR	2841	2842	2843
2777	NOR	2846	2847	2848
2781	NOR	2851	2852	2853
2785	NOR	2856	2857	2858
2789	NOR	2861
2790	NOR	2861
2791	NOR	2864	2913
2794	NOR	2864	2912
2797	NOR	2868	2869	3016
2801	NOR	2870
2802	NOR	2870
2803	NOR	2873	2921
2806	NOR	2877
2807	NOR	2877
2808	NOR	2926	2988
2811	NOR	2878
2812	NOR	2878
2813	NOR	2930	2990
2816	NOR	2881
2817	NOR	2881
2818	NOR	2934	2992
2821	NOR	2884
2822	NOR	2884
2823	NOR	2938	2994
2826	NOR	2887
2827	NOR	2887
2828	NOR	2942	2996
2831	NOR	2890
2832	NOR	2890
2833	NOR	2946	2998
2836	NOR	2893
2837	NOR	2893
2838	NOR	2950	3000
2841	NOR	2896
2842	NOR	2896
2843	NOR	2954	3002
2846	NOR	2899
2847	NOR	2899
2848	NOR	2958	3004
2851	NOR	2902
2852	NOR	2902
2853	NOR	2962	3006
2856	NOR	2905
2857	NOR	2905
2858	NOR	2908	2967
2861	NOR	2908	2966
2864	NOR	2912	2913	3064
